Time [s]	Voltage power source [V]	Voltage current sensor [V]
-1.00	-0.0005	2.5037
 -1.00	-0.0006	2.5038
 -1.00	-0.0003	2.5035
 -1.00	-0.0005	2.5034
 -1.00	-0.0007	2.5034
 -1.00	-0.0002	2.5032
 -1.00	-0.0004	2.5037
 -1.00	-0.0003	2.5037
 -1.00	-0.0009	2.5034
 -1.00	-0.0004	2.5038
 -1.00	-0.0002	2.5036
 -1.00	-0.0005	2.5038
 18.18	0.0007	2.5037
 18.30	-0.0000	2.5035
 18.41	0.0008	2.5031
 18.53	0.0007	2.5034
 18.65	-0.0003	2.5030
 18.77	0.0002	2.5031
 18.89	-0.0001	2.5032
 19.01	0.0000	2.5035
 19.13	-0.0002	2.5039
 19.25	0.0003	2.5039
 19.37	0.0008	2.5039
 19.48	0.0002	2.5040
 19.60	-0.0004	2.5039
 19.72	-0.0001	2.5048
 19.84	-0.0011	2.5043
 19.96	-0.0005	2.5027
 20.08	-0.0003	2.5032
 20.20	0.0007	2.5026
 20.32	0.0002	2.5028
 20.44	0.0012	2.5031
 20.55	-0.0007	2.5047
 20.67	0.0001	2.5031
 20.79	0.0524	2.4950
 20.91	0.0701	2.4920
 21.03	0.0760	2.4911
 21.15	0.0758	2.4910
 21.27	0.0911	2.4884
 21.39	0.0969	2.4867
 21.51	0.0986	2.4866
 21.63	0.1068	2.4850
 21.75	0.1154	2.4841
 21.86	0.1152	2.4841
 21.98	0.1154	2.4841
 22.10	0.1158	2.4846
 22.22	0.1272	2.4816
 22.34	0.1330	2.4809
 22.46	0.1373	2.4794
 22.57	0.1418	2.4795
 22.69	0.1541	2.4774
 22.81	0.1558	2.4776
 22.93	0.1552	2.4767
 23.05	0.1560	2.4776
 23.17	0.1553	2.4774
 23.29	0.1326	2.4810
 23.41	0.1305	2.4814
 23.53	0.1305	2.4816
 23.65	0.1295	2.4808
 23.77	0.1303	2.4815
 23.89	0.1293	2.4813
 24.00	0.1300	2.4813
 24.12	0.1293	2.4817
 24.24	0.1319	2.4814
 24.36	0.1317	2.4812
 24.48	0.1309	2.4811
