Time [s]	Voltage power source [V]	Voltage current sensor [V]
-1.00	0.0135	2.5077
 -1.00	0.0154	2.5076
 -1.00	0.0112	2.5077
 -1.00	0.0151	2.5076
 -1.00	0.0113	2.5077
 -1.00	0.0159	2.5076
 -1.00	0.0170	2.5075
 -1.00	0.0112	2.5076
 -1.00	0.0133	2.5076
 -1.00	0.0155	2.5078
 50.28	0.0143	2.5074
 50.30	-0.0236	2.4802
 50.32	0.0070	2.4669
 50.34	-0.0119	2.4922
 50.37	0.0128	2.4827
 50.39	-0.0170	2.4962
 50.41	0.0220	2.4855
 50.43	0.0013	2.4967
 50.45	-0.0060	2.4863
 50.47	-0.0272	2.4799
 50.50	-0.0211	2.4667
 50.52	-0.0267	2.4669
 50.54	-0.0004	2.4784
 50.56	-0.0099	2.4628
 50.58	-0.0394	2.4547
 50.60	0.0138	2.4896
 50.63	0.0286	2.4463
 50.65	0.0108	2.4366
 50.67	0.0154	2.4376
 50.69	0.0024	2.4669
 50.71	0.0054	2.4763
 50.73	0.0062	2.4746
 50.76	0.0128	2.4779
 50.78	0.0217	2.4506
 50.80	-0.0063	2.4858
 50.82	-0.0297	2.4208
 50.84	-0.0104	2.4506
 50.87	0.0070	2.4356
 50.89	0.0136	2.4789
 50.91	0.0029	2.4361
 50.93	-0.0330	2.4468
 50.95	0.0174	2.3902
 50.97	-0.0144	2.4562
 51.00	0.0628	2.4478
 51.02	0.0131	2.4766
 51.04	-0.0137	2.3866
 51.06	0.0490	2.4483
 51.08	0.0031	2.4233
 51.11	0.0067	2.4282
 51.13	-0.0249	2.4312
 51.15	-0.0142	2.3991
 51.17	-0.0009	2.4468
 51.19	0.0141	2.3831
 51.22	-0.0127	2.4080
 51.24	-0.0287	2.4091
 51.26	0.0113	2.4134
 51.28	-0.0043	2.4088
 51.30	0.0141	2.4047
 51.32	0.0238	2.4116
 51.35	0.0617	2.3711
 51.37	0.0811	2.4014
 51.39	0.0673	2.4203
 51.41	0.0826	2.4277
 51.43	0.0650	2.4256
 51.45	0.1178	2.4243
 51.48	0.1183	2.4208
 51.50	0.1259	2.4274
 51.52	0.1351	2.4213
 51.54	0.1458	2.4307
 51.56	0.1881	2.4256
 51.59	0.2026	2.4208
 51.61	0.2169	2.4289
 51.63	0.2312	2.4272
 51.65	0.2653	2.4238
 51.67	0.2475	2.4256
 51.70	0.2880	2.4233
 51.72	0.2923	2.4203
 51.74	0.3107	2.4177
 51.76	0.3560	2.4249
 51.78	0.3501	2.4302
 51.81	0.3086	2.4238
 51.83	0.4143	2.4203
 51.85	0.4284	2.4231
 51.87	0.4327	2.4256
 51.89	0.4696	2.4200
 51.92	0.4543	2.4231
 51.94	0.4796	2.4238
 51.96	0.4689	2.4182
 51.98	0.5354	2.4251
 52.00	0.5272	2.4246
 52.02	0.5866	2.4210
 52.05	0.5629	2.4238
 52.07	0.6052	2.4221
 52.09	0.6047	2.4236
 52.11	0.6518	2.4213
 52.14	0.6538	2.4210
 52.16	0.6829	2.4162
 52.18	0.6898	2.4335
 52.20	0.7012	2.4215
 52.22	0.7114	2.4233
 52.25	0.7466	2.4261
 52.27	0.7570	2.4208
 52.29	0.7489	2.4190
 52.31	0.8088	2.4238
 52.33	0.8225	2.4200
 52.36	0.8302	2.4203
 52.38	0.8439	2.4226
 52.40	0.8908	2.4177
 52.42	0.9509	2.4233
 52.44	0.9084	2.4243
 52.46	0.9451	2.4266
 52.48	0.9224	2.4277
 52.51	0.9863	2.4246
 52.53	0.9756	2.4251
 52.55	1.0037	2.4259
 52.57	0.9919	2.4215
 52.59	1.0587	2.4249
 52.62	1.0200	2.4251
 52.64	1.0865	2.4261
 52.66	1.0798	2.4221
 52.68	1.1094	2.4266
 52.70	1.1214	2.4200
 52.72	1.1637	2.4226
 52.75	1.1912	2.4228
 52.77	1.1795	2.4243
 52.79	1.2353	2.4226
 52.81	1.2750	2.4246
 52.83	1.2409	2.4236
 52.85	1.2737	2.4200
 52.88	1.2862	2.4213
 52.90	1.3303	2.4269
 52.92	1.3163	2.4305
 52.94	1.3726	2.4221
 52.96	1.4098	2.4279
 52.98	1.3754	2.4300
 53.01	1.4212	2.4213
 53.03	1.3846	2.4228
 53.05	1.4297	2.4236
 53.07	1.4429	2.4282
 53.09	1.4518	2.4223
 53.11	1.4730	2.4320
 53.14	1.5007	2.4264
 53.16	1.5405	2.4274
 53.18	1.5362	2.4236
 53.20	1.5769	2.4277
 53.22	1.5576	2.4269
 53.24	1.6162	2.4333
 53.26	1.6174	2.4243
 53.29	1.5596	2.4300
 53.31	1.6393	2.4236
 53.33	1.7076	2.4249
 53.35	1.6934	2.4289
 53.37	1.7204	2.4256
 53.39	1.7148	2.4312
 53.42	1.7290	2.4261
 53.44	1.7578	2.4264
 53.46	1.8049	2.4259
 53.48	1.7792	2.4254
 53.50	1.8072	2.4279
 53.53	1.8437	2.4302
 53.55	1.8314	2.4259
 53.57	1.8633	2.4254
 53.59	1.8857	2.4312
 53.61	1.8928	2.4274
 53.63	1.8771	2.4307
 53.66	1.9372	2.4241
 53.68	1.9897	2.4274
 53.70	1.9935	2.4261
 53.72	1.9899	2.4330
 53.74	2.0113	2.4284
 53.77	2.0299	2.4343
 53.79	2.0633	2.4376
 53.81	2.0653	2.4277
 53.83	2.0995	2.4358
 53.85	2.0987	2.4297
 53.87	2.1395	2.4272
 53.90	2.1672	2.4292
 53.92	2.1836	2.4335
 53.94	2.1797	2.4320
 53.96	2.2179	2.4317
 53.98	2.2080	2.4322
 54.00	2.2386	2.4284
 54.03	2.2796	2.4287
 54.05	2.2765	2.4292
 54.07	2.2498	2.4376
 54.09	2.3102	2.4289
 54.11	2.3420	2.4254
 54.14	2.3879	2.4289
 54.16	2.3986	2.4256
 54.18	2.3841	2.4317
 54.20	2.4080	2.4264
 54.22	2.4162	2.4277
 54.25	2.4681	2.4322
 54.27	2.4745	2.4373
 54.29	2.4852	2.4310
 54.31	2.5433	2.4297
 54.33	2.5308	2.4312
 54.36	2.5341	2.4394
 54.38	2.5627	2.4320
 54.40	2.6004	2.4353
 54.42	2.6126	2.4325
 54.44	2.6016	2.4317
 54.47	2.6422	2.4284
 54.49	2.6248	2.4282
 54.51	2.6786	2.4302
 54.53	2.6895	2.4305
 54.55	2.7334	2.4307
 54.58	2.7522	2.4322
 54.60	2.7647	2.4294
 54.62	2.7703	2.4307
 54.64	2.7780	2.4312
 54.66	2.8169	2.4292
 54.68	2.8144	2.4389
 54.71	2.8445	2.4335
 54.73	2.8587	2.4269
 54.75	2.8903	2.4328
 54.77	2.8975	2.4297
 54.79	2.9229	2.4340
 54.81	2.9339	2.4284
 54.84	2.9573	2.4315
 54.86	2.9945	2.4328
 54.88	3.0075	2.4302
 54.90	3.0083	2.4312
 54.92	3.0269	2.4335
 54.94	3.0567	2.4315
 54.97	3.0633	2.4297
 54.99	3.0860	2.4294
 55.01	3.1171	2.4384
 55.03	3.1568	2.4317
 55.05	3.1443	2.4287
 55.08	3.1612	2.4294
 55.10	3.1902	2.4310
 55.12	3.2378	2.4284
 55.14	3.2154	2.4277
 55.16	3.2569	2.4312
 55.18	3.2292	2.4305
 55.21	3.2906	2.4297
 55.23	3.2664	2.4315
 55.25	3.3278	2.4274
 55.27	3.2727	2.4269
 55.29	3.3471	2.4297
 55.31	3.3762	2.4297
 55.34	3.4610	2.4345
 55.36	3.3966	2.4284
 55.38	3.4582	2.4305
 55.40	3.4131	2.4312
 55.42	3.4024	2.4289
 55.45	3.4524	2.4305
 55.47	3.4761	2.4307
 55.49	3.4483	2.4317
 55.51	3.4824	2.4269
 55.53	3.5357	2.4284
 55.55	3.5268	2.4358
 55.58	3.5698	2.4261
 55.60	3.6649	2.4302
 55.62	3.6055	2.4274
 55.64	3.6159	2.4277
 55.66	3.6501	2.4279
 55.69	3.6666	2.4269
 55.71	3.6857	2.4277
 55.73	3.7043	2.4282
 55.75	3.7744	2.4264
 55.77	3.7522	2.4264
 55.80	3.7754	2.4310
 55.82	3.7905	2.4312
 55.84	3.8103	2.4249
 55.86	3.8277	2.4277
 55.88	3.8613	2.4338
 55.91	3.9084	2.4289
 55.93	3.9395	2.4261
 55.95	3.8880	2.4297
 55.97	3.9324	2.4310
 55.99	3.9479	2.4307
 56.01	4.0012	2.4210
 56.04	4.0032	2.4302
 56.06	4.0193	2.4289
 56.08	4.0259	2.4218
 56.10	4.0437	2.4246
 56.12	4.0855	2.4279
 56.14	4.0705	2.4256
 56.17	4.1031	2.4284
 56.19	4.1566	2.4226
 56.21	4.0908	2.4284
 56.23	4.2022	2.4251
 56.25	4.2088	2.4246
 56.27	4.1991	2.4264
 56.30	4.2246	2.4190
 56.32	4.2559	2.4213
 56.34	4.2677	2.4236
 56.36	4.2695	2.4277
 56.38	4.2865	2.4233
 56.41	4.3054	2.4284
 56.43	4.3614	2.4249
 56.45	4.3388	2.4272
 56.47	4.3734	2.4233
 56.49	4.4004	2.4238
 56.52	4.3981	2.4233
 56.54	4.3836	2.4210
 56.56	4.4379	2.4236
 56.58	4.4560	2.4284
 56.60	4.4776	2.4294
 56.62	4.5041	2.4305
 56.65	4.5390	2.4261
 56.67	4.5306	2.4226
 56.69	4.5495	2.4200
 56.71	4.5686	2.4210
 56.74	4.5846	2.4287
 56.76	4.6182	2.4256
 56.78	4.6287	2.4213
 56.80	4.6600	2.4198
 56.82	4.6687	2.4241
 56.84	4.7156	2.4238
 56.87	4.7196	2.4175
 56.89	4.7477	2.4180
 56.91	4.7464	2.4310
 56.93	4.7632	2.4192
 56.95	4.7291	2.4154
 56.97	4.8211	2.4200
 56.99	4.8126	2.4192
 57.02	4.8310	2.4147
 57.04	4.8837	2.4203
 57.06	4.8735	2.4226
 57.08	4.9306	2.4198
 57.10	4.9255	2.4106
 57.13	4.9309	2.4198
 57.15	4.9637	2.4180
 57.17	4.9436	2.4228
 57.19	4.9884	2.4203
 57.21	4.9877	2.4205
 57.23	5.0022	2.4218
 57.25	5.0305	2.4131
 57.28	5.0784	2.4172
 57.30	5.0728	2.4192
 57.32	5.0812	2.4182
 57.34	5.1240	2.4159
 57.36	5.0955	2.4136
 57.39	5.1772	2.4167
 57.41	5.1393	2.4175
 57.43	5.1946	2.4113
 57.45	5.2188	2.4154
 57.47	5.2076	2.4175
 57.50	5.2361	2.4142
 57.52	5.3049	2.4098
 57.54	5.3026	2.4164
 57.56	5.2766	2.4136
 57.58	5.3281	2.4134
 57.61	5.3594	2.4147
 57.63	5.3474	2.4139
 57.65	5.3360	2.4139
 57.67	5.3844	2.4134
 57.69	5.4009	2.4083
 57.71	5.3928	2.4131
 57.73	5.4437	2.4124
 57.76	5.4748	2.4106
 57.78	5.4860	2.4108
 57.80	5.5110	2.4159
 57.82	5.5181	2.4111
 57.84	5.5077	2.4088
 57.86	5.5551	2.4103
 57.89	5.5673	2.4152
 57.91	5.6150	2.4060
 57.93	5.6195	2.4139
 57.95	5.6318	2.4091
 57.97	5.6465	2.4093
 58.00	5.7031	2.4070
 58.02	5.7125	2.4407
 58.04	5.7156	2.5044
 58.06	5.7671	2.5085
 58.08	5.7138	2.5092
 58.10	5.7459	2.5062
 58.13	5.7767	2.5062
 58.15	5.7635	2.5074
 58.17	5.8068	2.5049
 58.19	5.8208	2.5046
 58.21	5.7686	2.5074
 58.23	5.8583	2.5052
 58.26	5.8837	2.5067
 58.28	5.8766	2.5059
 58.30	5.9500	2.5062
 58.32	5.9176	2.5069
 58.34	5.8939	2.5072
 58.37	5.9431	2.5069
 58.39	5.9232	2.5057
 58.41	5.9615	2.5067
 58.43	5.9334	2.5046
 58.45	5.9434	2.5067
 58.48	5.9062	2.5092
 58.50	5.9737	2.5054
 58.52	5.9589	2.5049
 58.54	5.9615	2.5069
 58.56	5.9464	2.5067
 58.58	5.9615	2.5052
 58.61	5.9867	2.5059
 58.63	5.9597	2.5082
 58.65	5.9212	2.5077
 58.67	5.9581	2.5085
 58.69	5.9841	2.5064
 58.72	5.9770	2.5064
 58.74	6.0058	2.5087
 58.76	5.9834	2.5041
 58.78	5.9773	2.5069
 58.80	5.9905	2.5054
 58.83	5.9915	2.5069
 58.85	5.9620	2.5064
 58.87	6.0088	2.5049
 58.89	5.9630	2.5064
 58.91	5.9928	2.5069
 58.93	5.9964	2.5057
 58.96	6.0045	2.5059
 58.98	5.9849	2.5080
 59.00	5.9959	2.5072
 59.02	5.9429	2.5059
 59.04	5.9709	2.5069
 59.06	6.0091	2.5074
 59.08	5.9790	2.5072
 59.11	6.0129	2.5074
 59.13	5.9818	2.5062
 59.15	5.9821	2.5072
 59.17	6.0226	2.5074
 59.19	5.9818	2.5067
 59.21	5.9803	2.5064
 59.24	6.0132	2.5057
 59.26	5.9271	2.5069
 59.28	5.9900	2.5069
