Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct)
11651	-8.4665E-10	-8.3242E-10	2.6177E-09	-3.7303E-12	8.8279E-12	6.8464E-11
11651	-8.5729E-10	-8.4889E-10	2.6635E-09	-2.2025E-12	1.8724E-11	1.4522E-10
11653	-7.4828E-10	-7.1498E-10	2.269E-09	-8.8827E-12	2.0178E-11	1.54E-10
11653	-7.543E-10	-7.3176E-10	2.311E-09	-6.0133E-12	3.1137E-11	2.3806E-10
11654	-6.9351E-10	-6.0504E-10	1.9792E-09	-2.3973E-11	4.1369E-11	3.1127E-10
11654	-6.8906E-10	-6.2419E-10	2.016E-09	-1.7579E-11	5.3258E-11	4.009E-10
11655	-6.7432E-10	-5.0154E-10	1.738E-09	-4.7112E-11	5.9135E-11	4.4173E-10
11655	-6.5702E-10	-5.2411E-10	1.7696E-09	-3.6241E-11	7.0799E-11	5.2887E-10
11656	-6.8423E-10	-4.0356E-10	1.5373E-09	-7.5869E-11	7.3824E-11	5.5554E-10
11656	-6.5383E-10	-4.293E-10	1.5628E-09	-6.0686E-11	8.4896E-11	6.388E-10
11657	-7.1488E-10	-3.1078E-10	1.3683E-09	-1.0726E-10	8.6577E-11	6.631E-10
11657	-6.7639E-10	-3.3703E-10	1.3869E-09	-9.005E-11	9.6682E-11	7.4042E-10
11658	-7.6191E-10	-2.2271E-10	1.2255E-09	-1.4132E-10	9.9179E-11	7.6943E-10
11658	-7.2359E-10	-2.4547E-10	1.2368E-09	-1.2531E-10	1.0844E-10	8.4126E-10
11659	-8.0272E-10	-1.4725E-10	1.1034E-09	-1.7264E-10	9.3701E-11	7.247E-10
11659	-7.6612E-10	-1.6583E-10	1.1074E-09	-1.5812E-10	1.0243E-10	7.9218E-10
11660	-7.0051E-10	-1.6138E-10	1.0333E-09	-1.4399E-10	-6.9689E-11	-5.1816E-10
11660	-6.7286E-10	-1.7268E-10	1.0304E-09	-1.336E-10	-6.2068E-11	-4.6023E-10
11661	-6.3818E-10	-3.0512E-10	1.2807E-09	-9.0279E-11	-3.7057E-10	-2.7809E-09
11661	-6.2941E-10	-3.0501E-10	1.2718E-09	-8.7938E-11	-3.6421E-10	-2.7332E-09
11662	-9.1278E-10	-4.4833E-10	1.8575E-09	-1.2461E-10	-6.7897E-10	-5.1451E-09
11662	-8.9888E-10	-4.4782E-10	1.8428E-09	-1.2105E-10	-6.7254E-10	-5.0965E-09
11663	-1.6501E-09	-5.6694E-10	2.8357E-09	-2.8479E-10	-1.0512E-09	-8.1159E-09
11663	-1.6552E-09	-5.5331E-10	2.8115E-09	-2.8962E-10	-1.043E-09	-8.0522E-09
11664	-3.0523E-09	-6.5311E-10	4.3963E-09	-6.2861E-10	-1.6101E-09	-1.2501E-08
11664	-3.236E-09	-5.5114E-10	4.3577E-09	-7.0354E-10	-1.5956E-09	-1.2388E-08
11665	-5.9955E-09	-4.6362E-10	6.8729E-09	-1.4756E-09	-2.5456E-09	-1.9462E-08
11665	-5.76E-09	-5.4378E-10	6.8146E-09	-1.3892E-09	-2.5218E-09	-1.9279E-08
11666	-1.1805E-08	3.4312E-10	1.0828E-08	-3.2917E-09	-4.0981E-09	-3.0819E-08
11666	-9.61E-09	-6.1945E-10	1.0746E-08	-2.4345E-09	-4.1056E-09	-3.0875E-08
11667	-1.7162E-08	-2.5163E-10	1.7353E-08	-4.5822E-09	-6.683E-09	-5.0257E-08
11667	-2.1123E-08	1.6289E-09	1.7196E-08	-6.1538E-09	-6.7283E-09	-5.0596E-08
11668	-2.2346E-08	-2.8788E-09	2.8084E-08	-5.2163E-09	-1.1332E-08	-8.6152E-08
11668	-4.5123E-08	7.6137E-09	2.7876E-08	-1.4109E-08	-1.0905E-08	-8.2904E-08
11669	-9.0671E-08	1.9977E-08	4.5988E-08	-2.9467E-08	-1.9279E-08	-1.473E-07
11669	-2.7204E-08	-9.0458E-09	4.6095E-08	-4.8383E-09	-1.8651E-08	-1.425E-07
