x[mm]	y[mm]
2,97E+01	-1,46E+02
3,53E+01	-1,45E+02
4,09E+01	-1,44E+02
4,65E+01	-1,43E+02
5,20E+01	-1,42E+02
5,76E+01	-1,41E+02
6,32E+01	-1,41E+02
6,88E+01	-1,40E+02
7,44E+01	-1,39E+02
8,01E+01	-1,39E+02
8,57E+01	-1,38E+02
9,14E+01	-1,38E+02
9,71E+01	-1,38E+02
1,03E+02	-1,37E+02
1,08E+02	-1,37E+02
1,14E+02	-1,37E+02
1,20E+02	-1,37E+02
1,25E+02	-1,37E+02
1,31E+02	-1,38E+02
1,37E+02	-1,38E+02
1,42E+02	-1,38E+02
1,48E+02	-1,39E+02
1,54E+02	-1,39E+02
1,59E+02	-1,40E+02
1,65E+02	-1,40E+02
1,71E+02	-1,41E+02
1,76E+02	-1,42E+02
1,82E+02	-1,43E+02
1,87E+02	-1,44E+02
1,93E+02	-1,45E+02
1,99E+02	-1,46E+02
2,04E+02	-1,47E+02
2,10E+02	-1,48E+02
2,15E+02	-1,49E+02
2,21E+02	-1,50E+02
2,26E+02	-1,51E+02
2,32E+02	-1,53E+02
2,37E+02	-1,54E+02
2,43E+02	-1,55E+02
2,48E+02	-1,56E+02
2,54E+02	-1,58E+02
2,59E+02	-1,59E+02
2,65E+02	-1,60E+02
2,71E+02	-1,61E+02
2,76E+02	-1,62E+02
2,82E+02	-1,64E+02
2,87E+02	-1,65E+02
2,93E+02	-1,66E+02
2,98E+02	-1,66E+02
3,04E+02	-1,67E+02
3,10E+02	-1,68E+02
3,15E+02	-1,69E+02
3,21E+02	-1,69E+02
3,26E+02	-1,70E+02
3,32E+02	-1,70E+02
3,38E+02	-1,70E+02
3,43E+02	-1,70E+02
3,49E+02	-1,70E+02
3,55E+02	-1,70E+02
3,60E+02	-1,69E+02
3,66E+02	-1,69E+02
3,72E+02	-1,68E+02
3,77E+02	-1,67E+02
3,83E+02	-1,66E+02
3,88E+02	-1,64E+02
3,94E+02	-1,63E+02
3,99E+02	-1,61E+02
4,05E+02	-1,59E+02
4,10E+02	-1,57E+02
4,15E+02	-1,55E+02
4,20E+02	-1,53E+02
4,26E+02	-1,50E+02
4,31E+02	-1,48E+02
4,36E+02	-1,45E+02
4,41E+02	-1,42E+02
4,45E+02	-1,39E+02
4,50E+02	-1,36E+02
4,55E+02	-1,33E+02
4,60E+02	-1,30E+02
4,64E+02	-1,26E+02
4,69E+02	-1,23E+02
4,73E+02	-1,19E+02
4,77E+02	-1,16E+02
4,82E+02	-1,12E+02
4,86E+02	-1,08E+02
4,90E+02	-1,04E+02
4,93E+02	-9,91E+01
4,95E+02	-9,39E+01
4,96E+02	-8,84E+01
4,96E+02	-8,27E+01
4,96E+02	-7,70E+01
4,95E+02	-7,14E+01
4,94E+02	-6,59E+01
4,92E+02	-6,07E+01
4,89E+02	-5,56E+01
4,86E+02	-5,08E+01
4,83E+02	-4,60E+01
4,80E+02	-4,12E+01
4,77E+02	-3,66E+01
4,73E+02	-3,20E+01
4,70E+02	-2,77E+01
4,66E+02	-2,36E+01
4,62E+02	-1,96E+01
4,58E+02	-1,56E+01
4,54E+02	-1,17E+01
4,50E+02	-7,68E+00
4,46E+02	-3,82E+00
4,41E+02	3,98E-02
4,37E+02	3,90E+00
4,33E+02	7,76E+00
4,29E+02	1,16E+01
4,25E+02	1,54E+01
4,21E+02	1,91E+01
4,16E+02	2,27E+01
4,12E+02	2,63E+01
4,08E+02	3,00E+01
4,03E+02	3,34E+01
3,99E+02	3,70E+01
3,94E+02	4,05E+01
3,90E+02	4,40E+01
3,85E+02	4,75E+01
3,81E+02	5,09E+01
3,76E+02	5,41E+01
3,71E+02	5,72E+01
3,66E+02	6,03E+01
3,62E+02	6,35E+01
3,57E+02	6,65E+01
3,52E+02	6,94E+01
3,47E+02	7,22E+01
3,42E+02	7,50E+01
3,37E+02	7,79E+01
3,32E+02	8,06E+01
3,27E+02	8,32E+01
3,22E+02	8,57E+01
3,17E+02	8,82E+01
3,12E+02	9,07E+01
3,07E+02	9,32E+01
3,02E+02	9,56E+01
2,96E+02	9,75E+01
2,91E+02	9,91E+01
2,86E+02	1,01E+02
2,80E+02	1,02E+02
2,75E+02	1,04E+02
2,69E+02	1,05E+02
2,64E+02	1,06E+02
2,58E+02	1,08E+02
2,52E+02	1,09E+02
2,47E+02	1,10E+02
2,42E+02	1,12E+02
2,36E+02	1,13E+02
2,30E+02	1,14E+02
2,25E+02	1,15E+02
2,19E+02	1,16E+02
2,14E+02	1,17E+02
2,08E+02	1,18E+02
2,03E+02	1,20E+02
1,97E+02	1,21E+02
1,91E+02	1,22E+02
1,86E+02	1,23E+02
1,80E+02	1,24E+02
1,75E+02	1,25E+02
1,69E+02	1,26E+02
1,64E+02	1,27E+02
1,58E+02	1,28E+02
1,52E+02	1,29E+02
1,47E+02	1,30E+02
1,41E+02	1,31E+02
1,36E+02	1,31E+02
1,30E+02	1,32E+02
1,25E+02	1,33E+02
1,19E+02	1,34E+02
1,13E+02	1,35E+02
1,08E+02	1,36E+02
1,02E+02	1,37E+02
9,65E+01	1,38E+02
9,09E+01	1,38E+02
8,53E+01	1,39E+02
7,97E+01	1,40E+02
7,42E+01	1,41E+02
6,86E+01	1,42E+02
6,30E+01	1,43E+02
5,74E+01	1,43E+02
5,18E+01	1,44E+02
4,62E+01	1,45E+02
4,06E+01	1,45E+02
3,50E+01	1,46E+02
2,94E+01	1,47E+02
