Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct)	xz (correct)
11651	 0.61254E-09	 0.58849E-09	-1.8643E-09	 0.63043E-11	-1.0536E-10	-8.1721E-10
11651	 0.62432E-09	 0.60591E-09	-1.9133E-09	 0.48261E-11	-6.3799E-11	-4.9485E-10
11653	 0.51810E-09	 0.45938E-09	-1.4945E-09	 0.15664E-10	-1.8639E-10	-1.4245E-09
11653	 0.52513E-09	 0.47732E-09	-1.5399E-09	 0.12755E-10	-1.4128E-10	-1.0785E-09
11654	 0.50328E-09	 0.34483E-09	-1.2338E-09	 0.42936E-10	-3.3808E-10	-2.5443E-09
11654	 0.49878E-09	 0.36589E-09	-1.2746E-09	 0.36012E-10	-2.8938E-10	-2.1772E-09
11655	 0.55359E-09	 0.24094E-09	-1.0599E-09	 0.85250E-10	-4.6853E-10	-3.4999E-09
11655	 0.53324E-09	 0.26701E-09	-1.0959E-09	 0.72595E-10	-4.1922E-10	-3.1315E-09
11656	 0.65788E-09	 0.14530E-09	-9.5669E-10	 0.13855E-09	-5.7484E-10	-4.3256E-09
11656	 0.62087E-09	 0.17616E-09	-9.8673E-10	 0.12020E-09	-5.2422E-10	-3.9448E-09
11657	 0.80312E-09	 0.56309E-10	-9.0836E-10	 0.19821E-09	-6.5726E-10	-5.0333E-09
11657	 0.75809E-09	 0.87210E-10	-9.3057E-10	 0.17803E-09	-6.0554E-10	-4.6374E-09
11658	 0.98301E-09	-0.28408E-10	-9.033E-10	 0.26509E-09	-7.2526E-10	-5.6261E-09
11658	 0.94688E-09	-0.59401E-11	-9.1609E-10	 0.24971E-09	-6.7228E-10	-5.2152E-09
11659	 0.26097E-08	-0.75780E-09	-9.3185E-10	 0.89079E-09	-8.7098E-10	-6.724E-09
11659	 0.28080E-08	-0.84601E-09	-9.3681E-10	 0.96684E-09	-8.1691E-10	-6.3062E-09
11660	 0.17355E-07	-0.74638E-08	-9.7123E-10	 0.67014E-08	-1.6996E-09	-1.2859E-08
11660	 0.17855E-07	-0.76904E-08	-9.7484E-10	 0.68964E-08	-1.6498E-09	-1.2481E-08
11661	 0.47738E-07	-0.21130E-07	-1.3712E-09	 0.18684E-07	-3.2218E-09	-2.4184E-08
11661	 0.48007E-07	-0.21251E-07	-1.3747E-09	 0.18790E-07	-3.1785E-09	-2.386E-08
11662	 0.86694E-07	-0.38609E-07	-2.0332E-09	 0.33655E-07	-5.0052E-09	-3.7915E-08
11662	 0.85974E-07	-0.38291E-07	-2.009E-09	 0.33377E-07	-4.958E-09	-3.7558E-08
11663	 0.13800E-06	-0.61602E-07	-3.0732E-09	 0.52590E-07	-7.3644E-09	-5.6847E-08
11663	 0.13554E-06	-0.60494E-07	-3.0391E-09	 0.51652E-07	-7.2925E-09	-5.6293E-08
11664	 0.20787E-06	-0.92853E-07	-4.5616E-09	 0.78769E-07	-1.0962E-08	-8.5108E-08
11664	 0.20394E-06	-0.91089E-07	-4.4951E-09	 0.77278E-07	-1.0852E-08	-8.4256E-08
11665	 0.30433E-06	-0.13586E-06	-6.6002E-09	 0.11711E-06	-1.6841E-08	-1.2878E-07
11665	 0.30149E-06	-0.13461E-06	-6.5062E-09	 0.11603E-06	-1.6665E-08	-1.2743E-07
11666	 0.44048E-06	-0.19669E-06	-9.0251E-09	 0.17245E-06	-2.6222E-08	-1.9722E-07
11666	 0.44131E-06	-0.19710E-06	-8.9382E-09	 0.17279E-06	-2.6067E-08	-1.9605E-07
11667	 0.64452E-06	-0.28798E-06	-1.2789E-08	 0.25252E-06	-4.0826E-08	-3.0699E-07
11667	 0.63381E-06	-0.28319E-06	-1.2571E-08	 0.24834E-06	-4.0817E-08	-3.0692E-07
11668	 0.94980E-06	-0.42568E-06	-1.6658E-08	 0.36838E-06	-6.4848E-08	-4.9294E-07
11668	 0.89877E-06	-0.40254E-06	-1.6326E-08	 0.34856E-06	-6.3423E-08	-4.8208E-07
11669	 0.13043E-05	-0.58593E-06	-2.0305E-08	 0.50344E-06	-1.0462E-07	-7.9934E-07
11669	 0.13636E-05	-0.61280E-06	-2.0785E-08	 0.52640E-06	-1.0169E-07	-7.7696E-07
11670	 0.17376E-05	-0.78197E-06	-2.3386E-08	 0.67605E-06	-1.6467E-07	-1.2485E-06
11670	 0.21046E-05	-0.95002E-06	-2.2027E-08	 0.81990E-06	-1.7771E-07	-1.3472E-06
11671	 0.33546E-05	-0.15171E-05	-2.6966E-08	 0.13216E-05	-2.8103E-07	-2.1101E-06
11671	 0.21693E-05	-0.98386E-06	-1.1741E-08	 0.85347E-06	-2.9899E-07	-2.2457E-06
11672	 0.65682E-05	-0.30001E-05	8.7838E-09	 0.25825E-05	-5.893E-07	-4.4447E-06
11672	 0.11646E-05	-0.52579E-06	-1.1355E-08	 0.45842E-06	-3.5279E-07	-0.000002659
11673	 0.89066E-05	-0.41426E-05	1.6404E-07	 0.34694E-05	-9.7033E-07	-7.4282E-06
11673	 0.19279E-06	-0.49774E-07	-8.1929E-08	 0.65845E-07	-1.8865E-07	-0.000001438
11674	 0.93696E-05	-0.45038E-05	4.7876E-07	 0.36395E-05	-1.2596E-06	-9.7666E-06
11674	-0.15468E-06	 0.18005E-06	-2.3483E-07	-0.87820E-07	1.0308E-07	8.0107E-07
11675	 0.92409E-05	-0.46556E-05	9.3346E-07	 0.36624E-05	-0.00000154	-0.00001188
11675	-0.99012E-07	 0.26229E-06	-4.6605E-07	-0.95022E-07	3.7591E-07	2.8974E-06
11676	 0.89892E-05	-0.47990E-05	1.4982E-06	 0.37038E-05	-1.8328E-06	-0.000013879
11676	 0.63394E-07	 0.32895E-06	-7.6863E-07	-0.71026E-07	6.2295E-07	4.7158E-06
11677	 0.86820E-05	-0.49568E-05	2.1444E-06	 0.37055E-05	-2.1072E-06	-0.00001579
11677	 0.28735E-06	 0.39811E-06	-1.1368E-06	-0.30410E-07	8.3879E-07	6.2866E-06
11678	 0.82728E-05	-0.51053E-05	2.8599E-06	 0.36044E-05	-2.3317E-06	-0.000017623
11678	 0.62704E-06	 0.43611E-06	-1.5514E-06	 0.50002E-07	1.0082E-06	7.6214E-06
11679	 0.77045E-05	-0.52192E-05	3.6552E-06	 0.34398E-05	-2.5328E-06	-0.000019364
11679	 0.11245E-05	 0.41488E-06	-1.9936E-06	 0.18751E-06	1.1394E-06	8.7135E-06
11680	 0.70324E-05	-0.53078E-05	4.5078E-06	 0.33079E-05	-0.000002766	-0.000020987
