Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct) 	xz (correct) 
11651	3.8187E-10	3.6476E-10	-1.1577E-09	4.486E-12	-8.3046E-11	-6.4415E-10
11651	3.8968E-10	3.7623E-10	-1.19E-09	3.5255E-12	-5.0053E-11	-3.8824E-10
11652	1.4141E-08	1.3511E-08	-4.2879E-08	-1.7017E-10	-2.0663E-10	1.5579E-09
11652	1.425E-08	1.3687E-08	-4.3363E-08	-1.5239E-10	-2.5746E-10	1.9407E-09
11653	3.1915E-10	2.7736E-10	-9.0852E-10	1.1148E-11	-1.4698E-10	-1.1233E-09
11653	3.2385E-10	2.892E-10	-9.3855E-10	9.2433E-12	-1.1114E-10	-8.484E-10
11654	3.1343E-10	2.0043E-10	-7.3763E-10	3.0619E-11	-2.6673E-10	-2.0074E-09
11654	3.1046E-10	2.144E-10	-7.6472E-10	2.6032E-11	-2.2803E-10	-1.7156E-09
11655	3.5444E-10	1.31E-10	-6.286E-10	6.0927E-11	-3.6984E-10	-2.7627E-09
11655	3.4076E-10	1.4843E-10	-6.5265E-10	5.2443E-11	-3.3069E-10	-2.4702E-09
11656	4.3406E-10	6.7382E-11	-5.7002E-10	9.9114E-11	-4.5379E-10	-3.4146E-09
11656	4.0909E-10	8.8132E-11	-5.9013E-10	8.6748E-11	-4.1368E-10	-3.113E-09
11657	5.4324E-10	8.2979E-12	-5.5045E-10	1.4198E-10	-5.1862E-10	-3.9716E-09
11657	5.1318E-10	2.8952E-11	-5.6533E-10	1.2849E-10	-4.7779E-10	-3.6591E-09
11658	6.7764E-10	-4.8108E-11	-5.6145E-10	1.9021E-10	-5.7174E-10	-4.4352E-09
11658	6.5471E-10	-3.3665E-11	-5.6996E-10	1.804E-10	-5.3007E-10	-4.112E-09
11659	1.9816E-09	-6.2726E-10	-5.9625E-10	6.9024E-10	-6.8998E-10	-5.3265E-09
11659	2.1402E-09	-6.9811E-10	-5.9961E-10	7.5114E-10	-6.4761E-10	-4.9991E-09
