Node #	x (correct)	y (correct)	z (correct)	xy (correct)	yz (correct)	xz (correct) 
11651	-1.1204E-10	-1.1602E-10	3.5899E-10	1.0431E-12	-4.8338E-11	-3.7494E-10
11651	-1.1177E-10	-1.1595E-10	3.5858E-10	1.0954E-12	-2.3566E-11	-1.8279E-10
11653	-1.0901E-10	-1.1944E-10	3.6336E-10	2.7828E-12	-8.3599E-11	-6.3899E-10
11653	-1.087E-10	-1.1929E-10	3.6274E-10	2.8247E-12	-5.6606E-11	-4.3195E-10
11654	-9.1334E-11	-1.1988E-10	3.47E-10	7.7345E-12	-1.4962E-10	-1.126E-09
11654	-9.1267E-11	-1.1946E-10	3.4603E-10	7.6385E-12	-1.2045E-10	-9.0609E-10
11655	-6.133E-11	-1.1882E-10	3.1535E-10	1.5675E-11	-2.0652E-10	-1.5427E-09
11655	-6.2288E-11	-1.1778E-10	3.1406E-10	1.5131E-11	-1.7716E-10	-1.3233E-09
11656	-2.1338E-11	-1.1669E-10	2.7158E-10	2.5774E-11	-2.5269E-10	-1.9014E-09
11656	-2.3566E-11	-1.1502E-10	2.7017E-10	2.4719E-11	-2.2296E-10	-1.6778E-09
11657	2.7091E-11	-1.1425E-10	2.1877E-10	3.7509E-11	-2.8768E-10	-2.203E-09
11657	2.5068E-11	-1.128E-10	2.1764E-10	3.6583E-11	-2.579E-10	-1.9751E-09
11658	8.3343E-11	-1.1238E-10	1.5953E-10	5.1297E-11	-3.1543E-10	-2.4469E-09
11658	8.5178E-11	-1.1305E-10	1.5915E-10	5.1947E-11	-2.8546E-10	-2.2145E-09
11659	8.7497E-10	-4.4394E-10	9.535E-11	3.4932E-10	-3.9232E-10	-3.028E-09
11659	9.8845E-10	-4.956E-10	9.5002E-11	3.931E-10	-3.6216E-10	-2.7949E-09
11660	8.3612E-09	-3.8387E-09	5.3643E-11	3.2951E-09	-9.0045E-10	-6.8082E-09
11660	8.6218E-09	-3.9561E-09	5.0484E-11	3.3965E-09	-8.7303E-10	-6.5998E-09
11661	2.3708E-08	-1.0809E-08	-2.5153E-12	9.3647E-09	-1.835E-09	-1.3774E-08
11661	2.386E-08	-1.0876E-08	-8.6297E-12	9.4239E-09	-1.8116E-09	-1.3598E-08
11662	4.3193E-08	-1.9701E-08	-1.2866E-11	1.6892E-08	-2.9078E-09	-2.2028E-08
11662	4.287E-08	-1.9556E-08	-9.2304E-12	1.6767E-08	-2.8826E-09	-2.1838E-08
11663	6.8647E-08	-3.1359E-08	6.4221E-12	2.6349E-08	-4.3095E-09	-3.3267E-08
11663	6.7461E-08	-3.0819E-08	9.7996E-12	2.5896E-08	-4.2716E-09	-3.2974E-08
11664	1.0308E-07	-4.7156E-08	1.2431E-10	3.9351E-08	-6.4441E-09	-5.0033E-08
11664	1.0111E-07	-4.6261E-08	1.355E-10	3.8601E-08	-6.385E-09	-4.9574E-08
11665	1.5009E-07	-6.8742E-08	4.7801E-10	5.8216E-08	-9.9471E-09	-7.606E-08
11665	1.489E-07	-6.8203E-08	4.9244E-10	5.776E-08	-9.8529E-09	-7.5338E-08
11666	2.1562E-07	-9.902E-08	1.4697E-09	8.5156E-08	-1.5579E-08	-1.1717E-07
11666	2.1714E-07	-9.9714E-08	1.4673E-09	8.576E-08	-1.5507E-08	-1.1663E-07
11667	3.1514E-07	-1.4523E-07	3.2421E-09	1.2467E-07	-2.4448E-08	-1.8384E-07
11667	3.0816E-07	-1.4205E-07	3.2556E-09	1.2193E-07	-2.4457E-08	-1.839E-07
11668	4.6472E-07	-2.1549E-07	7.337E-09	1.8217E-07	-3.9189E-08	-2.979E-07
11668	4.2979E-07	-1.9957E-07	7.385E-09	1.6858E-07	-3.8343E-08	-2.9146E-07
11669	6.0992E-07	-2.8567E-07	1.5574E-08	2.3853E-07	-6.3792E-08	-4.8739E-07
11669	6.6944E-07	-3.128E-07	1.5477E-08	2.616E-07	-6.2186E-08	-4.7512E-07
11670	7.7082E-07	-3.6652E-07	3.1789E-08	3.0515E-07	-1.0163E-07	-7.7042E-07
11670	1.0517E-06	-4.9481E-07	3.2048E-08	4.1511E-07	-1.0969E-07	-8.3152E-07
11671	1.7921E-06	-8.459E-07	6.1702E-08	7.1591E-07	-1.7598E-07	-1.3213E-06
11671	7.9346E-07	-3.9275E-07	6.6276E-08	3.2058E-07	-1.8582E-07	-1.3957E-06
11672	3.8277E-06	-0.000001807	1.3121E-07	1.5207E-06	-3.6802E-07	-2.7758E-06
11672	-2.6805E-07	6.5743E-08	1.2159E-07	-8.8931E-08	-2.247E-07	-1.6937E-06
11673	5.0203E-06	-0.000002416	2.6648E-07	1.9777E-06	-5.921E-07	-4.5326E-06
11673	-9.3426E-07	3.3197E-07	2.0305E-07	-3.3661E-07	-1.3727E-07	-1.0473E-06
11674	4.8621E-06	-2.4258E-06	4.3889E-07	0.000001912	-7.4033E-07	-5.7409E-06
11674	-0.000000853	2.6073E-07	2.7691E-07	-2.9237E-07	1.8765E-08	1.4653E-07
11675	4.3768E-06	-2.2956E-06	6.3637E-07	1.7576E-06	-8.6715E-07	-6.6916E-06
11675	-5.3166E-07	8.5185E-08	3.386E-07	-1.6198E-07	1.5126E-07	1.1659E-06
11676	3.8859E-06	-2.1685E-06	8.493E-07	1.6252E-06	-9.8678E-07	-0.000007476
11676	-2.1182E-07	-8.568E-08	3.9172E-07	-3.3176E-08	2.5623E-07	1.9405E-06
11677	3.4129E-06	-2.0528E-06	0.000001067	1.4845E-06	-0.000001084	-8.1268E-06
11677	9.027E-08	-2.4639E-07	4.409E-07	9.1368E-08	3.336E-07	2.5017E-06
11678	2.9336E-06	-1.9348E-06	1.2814E-06	1.3116E-06	-1.1457E-06	-8.6635E-06
11678	4.0311E-07	-4.1285E-07	4.9166E-07	2.1886E-07	3.7899E-07	2.8669E-06
11679	2.4215E-06	-1.7998E-06	1.4911E-06	1.1231E-06	-1.1885E-06	-9.0933E-06
11679	7.4877E-07	-5.9819E-07	5.5046E-07	3.5773E-07	3.9718E-07	3.0404E-06
11680	1.8974E-06	-1.6513E-06	0.000001687	9.5002E-07	-1.2395E-06	-9.4153E-06
11680	1.1055E-06	-7.9156E-07	6.1665E-07	5.0868E-07	3.9734E-07	3.0216E-06
11681	1.4166E-06	-0.00000151	1.8584E-06	8.0809E-07	-1.3079E-06	-9.6334E-06
11681	1.4215E-06	-9.6658E-07	6.8601E-07	6.6141E-07	3.824E-07	2.8224E-06
11682	1.0303E-06	-1.3951E-06	1.9944E-06	7.0116E-07	-1.3837E-06	-9.7543E-06
11682	1.6515E-06	-1.1008E-06	7.5467E-07	7.9733E-07	3.4959E-07	2.4718E-06
11683	7.5291E-07	-1.3122E-06	2.0912E-06	6.2332E-07	-1.4451E-06	-9.7867E-06
11683	1.7841E-06	-1.1903E-06	8.235E-07	8.9784E-07	2.9615E-07	2.0128E-06
11684	5.5814E-07	-1.2484E-06	2.1462E-06	5.6041E-07	-1.4732E-06	-9.7306E-06
11684	1.8449E-06	-1.2505E-06	8.9787E-07	9.5894E-07	2.2315E-07	1.4805E-06
11685	4.0248E-07	-1.1872E-06	2.1666E-06	4.9788E-07	-1.4641E-06	-0.000009591
11685	1.8709E-06	-1.3032E-06	9.8753E-07	9.9186E-07	1.3731E-07	9.0509E-07
11686	2.4407E-07	-1.1112E-06	2.1567E-06	4.2258E-07	-1.4234E-06	-0.000009371
11686	0.000001897	-1.3684E-06	1.1017E-06	1.0149E-06	4.3889E-08	2.9291E-07
