Time [s]	Voltage power source [V]	Voltage current sensor [V]
 -1.00	0.0170	2.5077
 -1.00	0.0133	2.5077
 -1.00	0.0133	2.5078
 -1.00	0.0122	2.5076
 -1.00	0.0173	2.5076
 -1.00	0.0150	2.5077
 -1.00	0.0145	2.5076
 50.09	-0.0277	2.5074
 50.11	-0.0068	2.4809
 50.13	0.0215	2.4763
 50.15	0.0077	2.4799
 50.18	0.0339	2.4720
 50.20	0.0255	2.4848
 50.22	0.0273	2.4937
 50.24	0.0207	2.4848
 50.26	-0.0066	2.4840
 50.29	0.0001	2.4817
 50.31	-0.0053	2.4888
 50.33	-0.0058	2.4628
 50.35	-0.0374	2.4679
 50.37	-0.0231	2.4799
 50.40	0.0031	2.4771
 50.42	0.0273	2.4774
 50.44	-0.0132	2.4198
 50.46	-0.0099	2.4677
 50.48	-0.0056	2.4249
 50.50	-0.0068	2.4192
 50.53	-0.0010	2.4330
 50.55	-0.0040	2.4554
 50.57	-0.0078	2.4478
 50.59	0.0637	2.4481
 50.61	0.0179	2.4577
 50.64	0.0171	2.4863
 50.66	-0.0012	2.3945
 50.68	-0.0298	2.4062
 50.70	-0.0033	2.4720
 50.73	0.0095	2.3920
 50.75	-0.0242	2.4605
 50.77	0.0023	2.4639
 50.79	0.0276	2.4549
 50.81	0.0143	2.3907
 50.84	0.0146	2.4506
 50.86	-0.0033	2.4631
 50.88	0.0044	2.4723
 50.90	-0.0033	2.4320
 50.92	0.0128	2.4111
 50.95	0.0202	2.4317
 50.97	0.0039	2.4223
 50.99	-0.0132	2.4534
 51.01	0.0090	2.3678
 51.03	-0.0425	2.3790
 51.06	-0.0033	2.3848
 51.08	-0.0094	2.3841
 51.10	0.0207	2.4119
 51.12	0.0026	2.3894
 51.14	0.0095	2.4134
 51.17	0.0434	2.3797
 51.19	0.0874	2.4040
 51.21	0.0401	2.4152
 51.23	0.0701	2.4142
 51.25	0.0788	2.4205
 51.28	0.0953	2.4175
 51.30	0.0976	2.4185
 51.32	0.1137	2.4261
 51.34	0.1369	2.4200
 51.36	0.1697	2.4231
 51.39	0.1934	2.4243
 51.41	0.1967	2.4187
 51.43	0.2263	2.4205
 51.45	0.1904	2.4210
 51.47	0.2026	2.4215
 51.49	0.2281	2.4164
 51.52	0.2622	2.4226
 51.54	0.2765	2.4185
 51.56	0.2783	2.4172
 51.58	0.3759	2.4198
 51.60	0.3438	2.4228
 51.63	0.3764	2.4159
 51.65	0.4105	2.4223
 51.67	0.4199	2.4159
 51.69	0.4085	2.4228
 51.71	0.4304	2.4228
 51.73	0.4722	2.4213
 51.75	0.5272	2.4213
 51.78	0.5096	2.4215
 51.80	0.5346	2.4231
 51.82	0.5032	2.4210
 51.84	0.5315	2.4246
 51.86	0.5463	2.4190
 51.89	0.5904	2.4172
 51.91	0.5889	2.4218
 51.93	0.5797	2.4226
 51.95	0.6001	2.4144
 51.97	0.6548	2.4159
 52.00	0.6872	2.4198
 52.02	0.6925	2.4195
 52.04	0.7264	2.4205
 52.06	0.6513	2.4182
 52.08	0.7570	2.4177
 52.10	0.7639	2.4144
 52.13	0.8016	2.4236
 52.15	0.7886	2.4205
 52.17	0.8411	2.4175
 52.19	0.8362	2.4185
 52.21	0.8757	2.4200
 52.24	0.8875	2.4195
 52.26	0.9124	2.4256
 52.28	0.9155	2.4289
 52.30	0.9272	2.4185
 52.32	0.9560	2.4218
 52.34	0.9532	2.4243
 52.37	0.9789	2.4226
 52.39	1.0161	2.4259
 52.41	1.0031	2.4213
 52.43	1.0490	2.4200
 52.45	1.0457	2.4282
 52.48	1.0734	2.4221
 52.50	1.0469	2.4231
 52.52	1.1450	2.4180
 52.54	1.1180	2.4279
 52.56	1.1481	2.4221
 52.59	1.1723	2.4236
 52.61	1.1868	2.4208
 52.63	1.2105	2.4172
 52.65	1.2001	2.4223
 52.67	1.2671	2.4208
 52.70	1.2765	2.4154
 52.72	1.2752	2.4241
 52.74	1.3010	2.4226
 52.76	1.3127	2.4213
 52.78	1.3096	2.4208
 52.80	1.3833	2.4233
 52.83	1.4261	2.4279
 52.85	1.3690	2.4243
 52.87	1.4039	2.4223
 52.89	1.4278	2.4228
 52.91	1.4414	2.4282
 52.93	1.4439	2.4238
 52.96	1.4671	2.4261
 52.98	1.4773	2.4233
 53.00	1.4987	2.4246
 53.02	1.5216	2.4279
 53.04	1.5636	2.4254
 53.07	1.5891	2.4221
 53.09	1.5807	2.4249
 53.11	1.5840	2.4284
 53.13	1.6095	2.4282
 53.16	1.6526	2.4205
 53.18	1.6605	2.4282
 53.20	1.7094	2.4215
 53.22	1.7033	2.4233
 53.24	1.7267	2.4297
 53.27	1.7203	2.4249
 53.29	1.7797	2.4249
 53.31	1.7820	2.4345
 53.33	1.7670	2.4251
 53.35	1.8243	2.4333
 53.37	1.8172	2.4269
 53.40	1.8337	2.4264
 53.42	1.8752	2.4305
 53.44	1.9079	2.4236
 53.46	1.9104	2.4223
 53.48	1.9519	2.4279
 53.51	1.9300	2.4282
 53.53	1.9463	2.4277
 53.55	1.9698	2.4261
 53.57	2.0151	2.4287
 53.59	2.0238	2.4243
 53.62	2.0457	2.4256
 53.64	2.0781	2.4292
 53.66	2.0600	2.4294
 53.68	2.1007	2.4254
 53.70	2.0931	2.4254
 53.73	2.1300	2.4269
 53.75	2.1736	2.4264
 53.77	2.1372	2.4251
 53.79	2.1889	2.4269
 53.81	2.2126	2.4287
 53.84	2.2182	2.4279
 53.86	2.2490	2.4205
 53.88	2.3239	2.4338
 53.90	2.2798	2.4279
 53.92	2.3300	2.4315
 53.95	2.3932	2.4297
 53.97	2.3583	2.4256
 53.99	2.3476	2.4302
 54.01	2.3828	2.4264
 54.03	2.4465	2.4284
 54.05	2.4531	2.4294
 54.08	2.4411	2.4315
 54.10	2.4758	2.4312
 54.12	2.4888	2.4322
 54.14	2.4867	2.4322
 54.16	2.5634	2.4356
 54.19	2.5440	2.4330
 54.21	2.5718	2.4261
 54.23	2.6154	2.4312
 54.25	2.5746	2.4315
 54.27	2.6261	2.4302
 54.30	2.6376	2.4297
 54.32	2.6342	2.4300
 54.34	2.6732	2.4312
 54.36	2.6699	2.4272
 54.38	2.6956	2.4279
 54.41	2.6918	2.4282
 54.43	2.7351	2.4300
 54.45	2.7502	2.4264
 54.47	2.7601	2.4322
 54.49	2.7519	2.4297
 54.52	2.7739	2.4284
 54.54	2.8202	2.4363
 54.56	2.8452	2.4272
 54.58	2.9046	2.4305
 54.60	2.8880	2.4261
 54.63	2.9109	2.4289
 54.65	2.9086	2.4307
 54.67	2.9418	2.4259
 54.69	2.9527	2.4338
 54.71	3.0266	2.4287
